City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Polunochnoye,RU,1/26/2022 22:41,60.8697,60.4153,-6.92,98,96,1.48
295,Sadiqabad,PK,1/26/2022 22:41,28.3062,70.1307,52.36,27,0,2.53
296,Tahoua,NE,1/26/2022 22:41,14.8888,5.2692,62.53,15,3,16.84
297,Haines Junction,CA,1/26/2022 22:41,60.7522,-137.5108,19.35,86,100,1.14
298,Kloulklubed,PW,1/26/2022 22:41,7.0419,134.2556,77.5,81,91,18.37
299,Palmer,US,1/26/2022 22:41,42.1584,-72.3287,20.57,40,0,1.01
300,Sibolga,ID,1/26/2022 22:41,1.7427,98.7792,74.37,80,88,3.56
301,Niwari,IN,1/26/2022 22:41,28.8833,77.5333,48.22,82,31,6.2
302,Mogzon,RU,1/26/2022 22:41,51.7435,111.9606,-20.92,100,98,0.78
303,Soyo,AO,1/26/2022 22:41,-6.1349,12.3689,78.19,84,98,4.81
